testName,mode,objectCount,repetition,avgFps,avgFrameTimeMs,runtimeDrawCallsAvg,objectRenderMeshInstances,analysedGroupCount,analysedBatchingCandidateGroups,analysedLargestGroupSize,optimisedAssignedObjectCount,optimisedUsedGroupCount,optimisedSkippedGroupCount
batching_cube_test_1000,batching,1000,1,60.004,16.666,4,1000,3,3,334,1000,3,0
batching_cube_test_1000,batching,1000,2,59.929,16.75,4,1000,3,3,334,1000,3,0
batching_cube_test_1000,batching,1000,3,59.955,16.694,4,1000,3,3,334,1000,3,0
batching_cube_test_2000,batching,2000,1,60.006,16.666,4,2000,3,3,667,2000,3,0
batching_cube_test_2000,batching,2000,2,60.006,16.666,4,2000,3,3,667,2000,3,0
batching_cube_test_2000,batching,2000,3,60.008,16.665,4,2000,3,3,667,2000,3,0
batching_cube_test_3000,batching,3000,1,60.006,16.666,4,3000,3,3,1000,3000,3,0
batching_cube_test_3000,batching,3000,2,60.007,16.666,4,3000,3,3,1000,3000,3,0
batching_cube_test_3000,batching,3000,3,60.006,16.666,4,3000,3,3,1000,3000,3,0
batching_cube_test_4000,batching,4000,1,59.957,16.693,4,4000,3,3,1334,4000,3,0
batching_cube_test_4000,batching,4000,2,59.957,16.693,4,4000,3,3,1334,4000,3,0
batching_cube_test_4000,batching,4000,3,60.005,16.666,4,4000,3,3,1334,4000,3,0
batching_cube_test_5000,batching,5000,1,60.004,16.666,4,5000,3,3,1667,5000,3,0
batching_cube_test_5000,batching,5000,2,59.956,16.694,4,5000,3,3,1667,5000,3,0
batching_cube_test_5000,batching,5000,3,60.006,16.666,4,5000,3,3,1667,5000,3,0
batching_cube_test_6000,batching,6000,1,59.955,16.694,4,6000,3,3,2000,6000,3,0
batching_cube_test_6000,batching,6000,2,60.007,16.666,4,6000,3,3,2000,6000,3,0
batching_cube_test_6000,batching,6000,3,60.006,16.666,4,6000,3,3,2000,6000,3,0
batching_cube_test_7000,batching,7000,1,60.005,16.666,4,7000,3,3,2334,7000,3,0
batching_cube_test_7000,batching,7000,2,59.905,16.721,4,7000,3,3,2334,7000,3,0
batching_cube_test_7000,batching,7000,3,60.007,16.665,4,7000,3,3,2334,7000,3,0
batching_cube_test_8000,batching,8000,1,60.007,16.665,4,8000,3,3,2667,8000,3,0
batching_cube_test_8000,batching,8000,2,60.007,16.665,4,8000,3,3,2667,8000,3,0
batching_cube_test_8000,batching,8000,3,59.939,16.721,4,8000,3,3,2667,8000,3,0
batching_cube_test_9000,batching,9000,1,60.006,16.666,4,9000,3,3,3000,9000,3,0
batching_cube_test_9000,batching,9000,2,59.89,16.749,4,9000,3,3,3000,9000,3,0
batching_cube_test_9000,batching,9000,3,60.007,16.665,4,9000,3,3,3000,9000,3,0
batching_cube_test_10000,batching,10000,1,59.646,17.151,4,10000,3,3,3334,10000,3,0
batching_cube_test_10000,batching,10000,2,60.006,16.666,4,10000,3,3,3334,10000,3,0
batching_cube_test_10000,batching,10000,3,59.957,16.693,4,10000,3,3,3334,10000,3,0
batching_cube_test_15000,batching,15000,1,60.007,16.666,4,15000,3,3,5000,15000,3,0
batching_cube_test_15000,batching,15000,2,60.006,16.666,4,15000,3,3,5000,15000,3,0
batching_cube_test_15000,batching,15000,3,60.006,16.666,4,15000,3,3,5000,15000,3,0